ダウンロードした時刻：2019/03/02 17:50:04

,旭川,旭川,旭川,東京,東京,東京,名古屋,名古屋,名古屋,福岡,福岡,福岡,多治見,多治見,多治見
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1990/1,-8.5,8,1,5.0,8,1,4.2,8,1,6.0,8,1,2.9,8,1
1990/2,-3.6,8,1,7.8,8,1,8.5,8,1,10.2,8,1,7.3,8,1
1990/3,0.2,8,1,10.6,8,1,9.6,8,1,11.4,8,1,8.5,8,1
1990/4,6.6,8,1,14.7,8,1,14.4,8,1,14.8,8,1,13.2,8,1
1990/5,12.7,8,1,19.2,8,1,18.7,8,1,19.3,8,1,17.7,8,1
1990/6,17.7,8,1,23.5,8,1,23.7,8,1,24.2,8,1,22.9,8,1
1990/7,21.5,8,1,25.7,8,1,26.9,8,1,28.3,8,1,26.3,8,1
1990/8,21.8,8,1,28.6,8,1,28.4,8,1,29.6,8,1,27.9,8,1
1990/9,16.3,8,1,24.8,8,1,24.6,8,1,25.4,8,1,23.9,8,1
1990/10,9.9,8,1,19.2,8,1,18.4,8,1,18.7,8,1,17.1,8,1
1990/11,4.6,8,1,15.1,8,1,14.1,8,1,15.2,8,1,12.4,8,1
1990/12,-0.4,8,1,10.0,8,1,7.8,8,1,8.7,8,1,5.9,8,1
1991/1,-4.5,8,1,6.3,8,1,4.6,8,1,7.0,8,1,3.1,8,1
1991/2,-6.8,8,1,6.5,8,1,4.2,8,1,6.1,8,1,2.5,8,1
1991/3,-1.9,8,1,9.5,8,1,9.7,8,1,10.4,8,1,8.9,8,1
1991/4,6.7,8,1,15.4,8,1,15.2,8,1,14.6,8,1,14.4,8,1
1991/5,12.9,8,1,18.8,8,1,18.6,8,1,18.3,8,1,17.6,8,1
1991/6,18.6,8,1,23.6,8,1,23.8,8,1,23.5,8,1,23.2,8,1
1991/7,19.5,8,1,26.7,8,1,26.6,8,1,27.4,8,1,26.0,8,1
1991/8,20.5,8,1,25.5,8,1,26.8,8,1,26.2,8,1,26.3,8,1
1991/9,16.0,8,1,23.9,8,1,24.8,8,1,24.4,8,1,23.9,8,1
1991/10,10.4,8,1,18.1,8,1,17.9,8,1,18.3,8,1,16.9,8,1
1991/11,2.0,8,1,13.0,8,1,12.2,8,1,13.1,8,1,10.3,8,1
1991/12,-3.9,8,1,9.2,8,1,8.2,8,1,10.0,8,1,6.4,8,1
1992/1,-5.9,8,1,6.8,8,1,6.0,8,1,7.8,8,1,4.0,8,1
1992/2,-6.0,8,1,6.9,8,1,5.3,8,1,7.6,8,1,3.6,8,1
1992/3,-1.8,8,1,9.7,8,1,10.1,8,1,10.8,8,1,9.2,8,1
1992/4,5.3,8,1,15.1,8,1,14.6,8,1,15.4,8,1,13.4,8,1
1992/5,11.3,8,1,17.3,8,1,17.4,8,1,18.9,8,1,16.2,8,1
1992/6,16.3,8,1,20.6,8,1,21.7,8,1,21.4,8,1,20.9,8,1
1992/7,19.9,8,1,25.5,8,1,26.6,8,1,26.5,8,1,25.5,8,1
1992/8,20.0,8,1,27.0,8,1,27.4,8,1,26.7,8,1,26.9,8,1
1992/9,14.3,8,1,23.3,8,1,23.8,8,1,24.6,8,1,22.6,8,1
1992/10,8.7,8,1,17.3,8,1,17.8,8,1,18.5,8,1,16.5,8,1
1992/11,2.6,8,1,13.0,8,1,12.0,8,1,13.2,8,1,10.4,8,1
1992/12,-3.4,8,1,9.4,8,1,7.7,8,1,10.0,8,1,6.1,8,1
1993/1,-5.4,8,1,6.2,8,1,5.9,8,1,7.5,8,1,4.4,8,1
1993/2,-4.8,8,1,7.7,8,1,5.9,8,1,8.3,8,1,4.4,8,1
1993/3,-1.4,8,1,8.7,8,1,8.0,8,1,9.8,8,1,6.7,8,1
1993/4,4.5,8,1,13.4,8,1,13.3,8,1,14.6,8,1,11.9,8,1
1993/5,11.1,8,1,18.1,8,1,18.0,8,1,18.8,8,1,17.0,8,1
1993/6,15.4,8,1,21.7,8,1,21.6,8,1,22.9,8,1,21.1,8,1
1993/7,19.0,8,1,22.5,8,1,23.6,8,1,25.1,8,1,23.3,8,1
1993/8,19.7,8,1,24.8,8,1,25.2,8,1,25.2,8,1,24.8,8,1
